,date,precipitation,temp_max,temp_min,wind,weather,month,year
136,2012-05-16,0.0,19.4,9.4,3.5,sun,May,2012
137,2012-05-17,0.0,17.8,6.7,2.9,rain,May,2012
138,2012-05-18,0.0,15.6,7.8,3.1,rain,May,2012
139,2012-05-19,0.0,19.4,7.2,1.5,sun,May,2012
140,2012-05-20,6.4,14.4,11.7,1.3,rain,May,2012
141,2012-05-21,14.0,16.7,10.0,4.0,rain,May,2012
142,2012-05-22,6.1,12.8,8.9,4.8,rain,May,2012
143,2012-05-23,0.3,14.4,8.9,6.3,rain,May,2012
144,2012-05-24,0.0,17.2,8.9,3.3,rain,May,2012
145,2012-05-25,0.0,22.2,8.9,3.1,rain,May,2012
146,2012-05-26,0.0,22.2,8.9,3.6,sun,May,2012
147,2012-05-27,0.0,17.2,11.7,3.7,sun,May,2012
148,2012-05-28,0.0,16.7,10.0,3.4,rain,May,2012
149,2012-05-29,0.0,16.1,7.8,1.8,sun,May,2012
150,2012-05-30,0.3,18.9,11.1,1.5,rain,May,2012
151,2012-05-31,3.8,17.8,12.2,2.7,rain,May,2012
152,2012-06-01,6.6,20.0,12.8,3.7,rain,June,2012
153,2012-06-02,0.3,18.9,10.6,3.7,rain,June,2012
154,2012-06-03,0.0,17.2,9.4,2.9,sun,June,2012
155,2012-06-04,1.3,12.8,8.9,3.1,rain,June,2012
156,2012-06-05,16.0,13.3,8.3,3.3,rain,June,2012
157,2012-06-06,0.0,16.1,6.1,3.4,sun,June,2012
158,2012-06-07,16.5,16.1,8.9,3.5,rain,June,2012
159,2012-06-08,1.5,15.0,8.3,3.0,rain,June,2012
160,2012-06-09,0.0,17.2,8.3,4.7,rain,June,2012
161,2012-06-10,0.0,18.9,10.0,2.9,sun,June,2012
162,2012-06-11,0.0,23.3,10.0,1.8,rain,June,2012
163,2012-06-12,0.8,18.3,12.8,3.9,rain,June,2012
164,2012-06-13,0.0,16.1,11.1,4.3,sun,June,2012
165,2012-06-14,0.0,17.2,10.0,2.7,sun,June,2012
166,2012-06-15,0.0,22.2,9.4,1.7,sun,June,2012
167,2012-06-16,0.0,21.1,15.0,4.1,rain,June,2012
168,2012-06-17,0.0,18.9,11.7,6.4,sun,June,2012
169,2012-06-18,3.0,17.2,10.0,3.8,rain,June,2012
170,2012-06-19,1.0,19.4,10.0,3.0,rain,June,2012
171,2012-06-20,0.0,24.4,10.0,3.0,sun,June,2012
172,2012-06-21,0.0,23.9,11.7,2.1,sun,June,2012
173,2012-06-22,15.7,13.9,11.7,1.9,rain,June,2012
174,2012-06-23,8.6,15.6,9.4,2.5,rain,June,2012
175,2012-06-24,0.0,19.4,9.4,2.0,drizzle,June,2012
176,2012-06-25,0.5,19.4,11.1,3.1,rain,June,2012
177,2012-06-26,0.0,18.3,10.6,3.4,rain,June,2012
178,2012-06-27,0.0,22.8,8.9,1.8,sun,June,2012
179,2012-06-28,0.0,22.2,11.7,2.5,rain,June,2012
180,2012-06-29,0.3,21.7,15.0,1.9,rain,June,2012
181,2012-06-30,3.0,20.0,13.3,2.4,rain,June,2012
182,2012-07-01,0.0,20.0,12.2,2.3,rain,July,2012
183,2012-07-02,2.0,18.9,11.7,2.1,rain,July,2012
184,2012-07-03,5.8,18.3,10.6,6.0,rain,July,2012
185,2012-07-04,0.0,20.6,9.4,3.8,sun,July,2012
186,2012-07-05,0.0,24.4,10.6,3.1,drizzle,July,2012
187,2012-07-06,0.0,25.0,11.1,2.1,sun,July,2012
188,2012-07-07,0.0,26.7,12.8,3.8,sun,July,2012
189,2012-07-08,0.0,28.3,14.4,2.8,rain,July,2012
190,2012-07-09,1.5,25.0,12.8,2.0,rain,July,2012
191,2012-07-10,0.0,23.9,11.1,2.3,drizzle,July,2012
192,2012-07-11,0.0,27.8,13.3,2.9,fog,July,2012
193,2012-07-12,0.0,25.6,13.3,2.7,drizzle,July,2012
194,2012-07-13,0.5,23.3,13.9,2.2,rain,July,2012
195,2012-07-14,0.0,25.0,15.0,2.2,rain,July,2012
196,2012-07-15,0.0,18.9,13.3,3.8,rain,July,2012
197,2012-07-16,0.3,26.1,13.3,2.5,rain,July,2012
198,2012-07-17,0.0,21.7,15.0,2.6,sun,July,2012
199,2012-07-18,0.0,21.1,14.4,2.9,sun,July,2012
200,2012-07-19,0.0,25.0,14.4,2.2,sun,July,2012
201,2012-07-20,15.2,19.4,13.9,4.0,rain,July,2012
202,2012-07-21,0.0,23.9,13.9,2.3,sun,July,2012
203,2012-07-22,1.0,20.6,12.2,3.9,rain,July,2012
204,2012-07-23,0.0,18.9,11.1,3.3,rain,July,2012
205,2012-07-24,0.0,23.3,12.2,4.3,sun,July,2012
206,2012-07-25,0.0,26.7,12.8,2.6,sun,July,2012
207,2012-07-26,0.0,25.6,12.8,2.2,drizzle,July,2012
208,2012-07-27,0.0,18.9,13.9,2.8,drizzle,July,2012
209,2012-07-28,0.0,22.2,13.3,1.7,drizzle,July,2012
210,2012-07-29,0.0,22.8,15.0,2.0,sun,July,2012
211,2012-07-30,0.0,19.4,13.3,3.0,sun,July,2012
212,2012-07-31,0.0,22.8,13.9,2.8,sun,July,2012
213,2012-08-01,0.0,23.9,13.3,2.2,drizzle,August,2012
214,2012-08-02,0.0,23.3,12.2,2.5,sun,August,2012
215,2012-08-03,0.0,27.2,12.8,3.9,sun,August,2012
216,2012-08-04,0.0,33.9,16.7,3.7,sun,August,2012
217,2012-08-05,0.0,33.9,17.8,1.9,sun,August,2012
218,2012-08-06,0.0,28.3,15.6,2.5,rain,August,2012
219,2012-08-07,0.0,21.1,15.0,2.6,drizzle,August,2012
220,2012-08-08,0.0,22.2,15.0,3.1,sun,August,2012
221,2012-08-09,0.0,24.4,14.4,3.8,drizzle,August,2012
222,2012-08-10,0.0,25.6,12.2,2.3,sun,August,2012
223,2012-08-11,0.0,28.3,13.3,2.5,sun,August,2012
224,2012-08-12,0.0,30.6,15.0,3.0,sun,August,2012
225,2012-08-13,0.0,30.6,15.0,2.8,sun,August,2012
226,2012-08-14,0.0,28.9,13.9,2.8,sun,August,2012
227,2012-08-15,0.0,31.1,16.7,4.7,sun,August,2012
228,2012-08-16,0.0,34.4,18.3,2.8,sun,August,2012
229,2012-08-17,0.0,32.8,16.1,1.8,sun,August,2012
230,2012-08-18,0.0,21.7,14.4,3.0,drizzle,August,2012
231,2012-08-19,0.0,23.3,15.0,2.7,drizzle,August,2012
232,2012-08-20,0.0,25.6,15.0,1.9,sun,August,2012
233,2012-08-21,0.0,23.3,13.3,3.0,rain,August,2012
234,2012-08-22,0.0,22.2,13.3,2.3,sun,August,2012
235,2012-08-23,0.0,21.1,13.9,3.8,sun,August,2012
236,2012-08-24,0.0,22.2,10.0,3.3,sun,August,2012
237,2012-08-25,0.0,26.1,11.7,3.2,sun,August,2012
238,2012-08-26,0.0,21.1,12.2,3.4,sun,August,2012
239,2012-08-27,0.0,23.9,13.3,1.8,sun,August,2012
240,2012-08-28,0.0,22.8,12.2,3.2,sun,August,2012
241,2012-08-29,0.0,22.8,13.3,2.4,sun,August,2012
242,2012-08-30,0.0,22.8,12.8,1.9,sun,August,2012
243,2012-08-31,0.0,22.2,10.6,2.9,sun,August,2012
244,2012-09-01,0.0,21.7,10.6,2.1,sun,September,2012
245,2012-09-02,0.0,21.1,10.0,2.0,sun,September,2012
246,2012-09-03,0.0,22.8,12.8,3.3,sun,September,2012
247,2012-09-04,0.0,24.4,11.1,3.1,sun,September,2012
248,2012-09-05,0.0,26.1,11.7,2.6,sun,September,2012
249,2012-09-06,0.0,28.3,14.4,4.2,sun,September,2012
250,2012-09-07,0.0,32.2,13.3,3.1,sun,September,2012
251,2012-09-08,0.0,25.0,13.3,3.0,sun,September,2012
252,2012-09-09,0.3,18.9,13.9,5.0,rain,September,2012
253,2012-09-10,0.3,20.0,11.7,3.9,rain,September,2012
254,2012-09-11,0.0,20.0,8.9,4.2,sun,September,2012
255,2012-09-12,0.0,22.2,10.0,5.6,sun,September,2012
256,2012-09-13,0.0,27.8,11.7,3.6,sun,September,2012
257,2012-09-14,0.0,26.1,11.1,1.5,sun,September,2012
258,2012-09-15,0.0,22.2,11.1,1.9,sun,September,2012
259,2012-09-16,0.0,24.4,9.4,2.3,sun,September,2012
260,2012-09-17,0.0,27.8,11.7,2.2,fog,September,2012
261,2012-09-18,0.0,27.8,11.7,1.4,sun,September,2012
262,2012-09-19,0.0,23.9,11.7,1.9,drizzle,September,2012
263,2012-09-20,0.0,19.4,10.0,2.5,drizzle,September,2012
264,2012-09-21,0.0,16.1,12.8,2.1,drizzle,September,2012
265,2012-09-22,0.3,19.4,11.7,1.1,rain,September,2012
266,2012-09-23,0.0,19.4,10.0,1.4,fog,September,2012
267,2012-09-24,0.0,21.1,10.0,1.8,fog,September,2012
268,2012-09-25,0.0,19.4,11.1,1.7,sun,September,2012
269,2012-09-26,0.0,19.4,9.4,1.7,drizzle,September,2012
270,2012-09-27,0.0,22.8,10.0,1.7,drizzle,September,2012
271,2012-09-28,0.0,25.0,12.2,1.1,rain,September,2012
272,2012-09-29,0.0,20.6,12.2,4.3,sun,September,2012
273,2012-09-30,0.0,21.1,7.8,3.1,sun,September,2012
274,2012-10-01,0.0,23.3,8.9,3.0,sun,October,2012
275,2012-10-02,0.0,17.8,10.0,4.1,sun,October,2012
276,2012-10-03,0.0,18.9,7.8,7.3,sun,October,2012
277,2012-10-04,0.0,18.9,8.3,6.5,sun,October,2012
278,2012-10-05,0.0,21.7,8.9,5.7,sun,October,2012
279,2012-10-06,0.0,23.9,7.8,5.1,sun,October,2012
280,2012-10-07,0.0,23.9,7.8,1.3,sun,October,2012
281,2012-10-08,0.0,21.1,7.8,1.9,sun,October,2012
282,2012-10-09,0.0,16.1,8.9,1.6,drizzle,October,2012
283,2012-10-10,0.0,12.2,8.3,1.4,drizzle,October,2012
284,2012-10-11,0.0,13.9,7.2,1.3,drizzle,October,2012
285,2012-10-12,2.0,13.9,8.9,4.6,rain,October,2012
286,2012-10-13,4.8,15.6,12.2,3.9,rain,October,2012
287,2012-10-14,16.5,17.8,13.3,3.4,rain,October,2012
288,2012-10-15,7.9,17.2,11.1,4.6,rain,October,2012
289,2012-10-16,0.0,16.1,8.3,5.5,sun,October,2012
290,2012-10-17,0.0,14.4,6.1,1.6,sun,October,2012
291,2012-10-18,20.8,17.8,6.7,2.0,rain,October,2012
292,2012-10-19,4.8,15.0,9.4,5.3,rain,October,2012
293,2012-10-20,0.5,11.1,6.1,5.7,rain,October,2012
294,2012-10-21,6.4,11.7,4.4,2.7,rain,October,2012
295,2012-10-22,8.9,7.8,3.3,2.6,rain,October,2012
296,2012-10-23,0.0,11.1,5.6,3.0,rain,October,2012
297,2012-10-24,7.1,11.7,6.1,2.1,rain,October,2012
298,2012-10-25,0.0,11.7,6.7,1.5,sun,October,2012
299,2012-10-26,1.5,11.1,7.2,2.5,rain,October,2012
300,2012-10-27,23.1,14.4,9.4,5.1,rain,October,2012
301,2012-10-28,6.1,14.4,10.0,3.8,rain,October,2012
302,2012-10-29,10.9,15.6,10.0,4.9,rain,October,2012
303,2012-10-30,34.5,15.0,12.2,2.8,rain,October,2012
304,2012-10-31,14.5,15.6,11.1,2.7,rain,October,2012
305,2012-11-01,9.7,15.0,10.6,3.0,rain,November,2012
306,2012-11-02,5.6,15.0,10.6,1.0,rain,November,2012
307,2012-11-03,0.5,15.6,11.1,3.6,rain,November,2012
308,2012-11-04,8.1,17.8,12.8,3.8,rain,November,2012
309,2012-11-05,0.8,15.0,7.8,4.0,rain,November,2012
310,2012-11-06,0.3,12.8,6.7,3.5,rain,November,2012
311,2012-11-07,0.0,12.2,3.9,3.4,rain,November,2012
312,2012-11-08,0.0,10.0,1.1,3.4,rain,November,2012
313,2012-11-09,0.0,8.9,1.1,2.0,rain,November,2012
314,2012-11-10,0.0,7.8,-0.6,2.2,sun,November,2012
315,2012-11-11,15.2,8.9,1.1,3.0,rain,November,2012
316,2012-11-12,3.6,12.8,6.1,3.0,rain,November,2012
317,2012-11-13,5.3,11.1,7.8,2.5,rain,November,2012
318,2012-11-14,0.8,11.1,5.0,2.6,rain,November,2012
319,2012-11-15,0.0,9.4,2.8,2.4,drizzle,November,2012
320,2012-11-16,5.6,9.4,2.2,1.6,rain,November,2012
321,2012-11-17,6.1,12.2,6.1,5.3,rain,November,2012
322,2012-11-18,7.9,10.0,6.1,4.9,rain,November,2012
323,2012-11-19,54.1,13.3,8.3,6.0,rain,November,2012
324,2012-11-20,3.8,11.1,7.2,4.2,rain,November,2012
325,2012-11-21,11.2,8.3,3.9,5.5,rain,November,2012
326,2012-11-22,0.0,8.9,2.8,1.5,rain,November,2012
327,2012-11-23,32.0,9.4,6.1,2.4,rain,November,2012
328,2012-11-24,0.0,8.9,3.9,1.2,rain,November,2012
329,2012-11-25,0.0,8.3,1.1,3.6,drizzle,November,2012
330,2012-11-26,0.0,9.4,1.7,3.8,fog,November,2012
331,2012-11-27,0.0,10.0,1.7,1.5,sun,November,2012
332,2012-11-28,2.8,9.4,2.2,2.9,rain,November,2012
333,2012-11-29,1.5,12.8,7.8,4.2,rain,November,2012
334,2012-11-30,35.6,15.0,7.8,4.6,rain,November,2012
335,2012-12-01,4.1,13.3,8.3,5.5,rain,December,2012
336,2012-12-02,19.6,8.3,7.2,6.2,rain,December,2012
337,2012-12-03,13.0,9.4,7.2,4.4,rain,December,2012
338,2012-12-04,14.2,11.7,7.2,6.2,rain,December,2012
339,2012-12-05,1.5,8.9,4.4,5.0,rain,December,2012
340,2012-12-06,1.5,7.2,6.1,5.1,rain,December,2012
341,2012-12-07,1.0,7.8,3.3,4.6,rain,December,2012
342,2012-12-08,0.0,6.7,3.3,2.0,sun,December,2012
343,2012-12-09,1.5,6.7,2.8,2.1,rain,December,2012
344,2012-12-10,0.5,7.2,5.6,1.8,rain,December,2012
345,2012-12-11,3.0,7.8,5.6,4.5,rain,December,2012
346,2012-12-12,8.1,6.7,4.4,2.0,rain,December,2012
347,2012-12-13,2.3,7.2,3.3,2.8,rain,December,2012
348,2012-12-14,7.9,6.1,1.1,1.7,rain,December,2012
349,2012-12-15,5.3,4.4,0.6,5.1,snow,December,2012
350,2012-12-16,22.6,6.7,3.3,5.5,snow,December,2012
351,2012-12-17,2.0,8.3,1.7,9.5,rain,December,2012
352,2012-12-18,3.3,3.9,0.6,5.3,snow,December,2012
353,2012-12-19,13.7,8.3,1.7,5.8,snow,December,2012
354,2012-12-20,13.2,7.2,0.6,3.7,rain,December,2012
355,2012-12-21,1.8,8.3,-1.7,1.7,rain,December,2012
356,2012-12-22,3.3,8.3,3.9,3.5,rain,December,2012
357,2012-12-23,6.6,7.2,3.3,2.5,rain,December,2012
358,2012-12-24,0.3,5.6,2.8,2.8,rain,December,2012
359,2012-12-25,13.5,5.6,2.8,4.2,snow,December,2012
360,2012-12-26,4.6,6.7,3.3,4.9,rain,December,2012
361,2012-12-27,4.1,7.8,3.3,3.2,rain,December,2012
362,2012-12-28,0.0,8.3,3.9,1.7,rain,December,2012
363,2012-12-29,1.5,5.0,3.3,1.7,rain,December,2012
364,2012-12-30,0.0,4.4,0.0,1.8,drizzle,December,2012
365,2012-12-31,0.0,3.3,-1.1,2.0,drizzle,December,2012
366,2013-01-01,0.0,5.0,-2.8,2.7,sun,January,2013
367,2013-01-02,0.0,6.1,-1.1,3.2,sun,January,2013
368,2013-01-03,4.1,6.7,-1.7,3.0,rain,January,2013
369,2013-01-04,2.5,10.0,2.2,2.8,rain,January,2013
370,2013-01-05,3.0,6.7,4.4,3.1,rain,January,2013
371,2013-01-06,2.0,7.2,2.8,3.0,rain,January,2013
372,2013-01-07,2.3,10.0,4.4,7.3,rain,January,2013
373,2013-01-08,16.3,11.7,5.6,6.3,rain,January,2013
374,2013-01-09,38.4,10.0,1.7,5.1,rain,January,2013
375,2013-01-10,0.3,3.3,-0.6,2.1,snow,January,2013
376,2013-01-11,0.0,2.8,-2.8,1.9,drizzle,January,2013
377,2013-01-12,0.0,2.8,-3.9,2.0,sun,January,2013
378,2013-01-13,0.0,2.2,-4.4,1.5,sun,January,2013
379,2013-01-14,0.0,3.3,-2.2,1.3,sun,January,2013
380,2013-01-15,0.0,6.7,-0.6,2.3,sun,January,2013
381,2013-01-16,0.0,6.1,-3.9,1.8,drizzle,January,2013
382,2013-01-17,0.0,3.9,-2.8,1.0,drizzle,January,2013
383,2013-01-18,0.0,3.3,-1.1,1.3,drizzle,January,2013
384,2013-01-19,0.0,1.1,-0.6,1.9,drizzle,January,2013
385,2013-01-20,0.0,3.3,-0.6,2.1,drizzle,January,2013
386,2013-01-21,0.0,2.2,-1.7,1.1,drizzle,January,2013
387,2013-01-22,0.0,3.3,-1.7,0.6,drizzle,January,2013
388,2013-01-23,5.1,7.2,2.2,3.1,rain,January,2013
389,2013-01-24,5.8,7.2,1.1,2.6,rain,January,2013
390,2013-01-25,3.0,10.6,2.8,2.1,rain,January,2013
391,2013-01-26,2.3,8.3,3.9,4.5,rain,January,2013
392,2013-01-27,1.8,5.6,3.9,4.5,rain,January,2013
393,2013-01-28,7.9,6.1,3.3,3.2,rain,January,2013
394,2013-01-29,4.3,8.3,5.0,3.9,rain,January,2013
395,2013-01-30,3.6,8.9,6.7,3.9,rain,January,2013
396,2013-01-31,3.0,9.4,7.2,4.0,rain,January,2013
397,2013-02-01,0.3,11.7,5.0,2.9,rain,February,2013
398,2013-02-02,0.0,6.1,2.8,2.0,drizzle,February,2013
399,2013-02-03,2.3,8.9,2.8,2.9,rain,February,2013
400,2013-02-04,0.0,10.6,6.7,2.6,rain,February,2013
401,2013-02-05,3.3,10.0,6.7,5.1,rain,February,2013
402,2013-02-06,1.0,10.6,6.1,4.5,rain,February,2013
403,2013-02-07,1.3,9.4,3.3,4.1,rain,February,2013
404,2013-02-08,0.0,7.8,2.2,1.3,sun,February,2013
405,2013-02-09,0.3,8.3,4.4,1.3,rain,February,2013
406,2013-02-10,0.0,8.9,1.7,2.0,drizzle,February,2013
407,2013-02-11,0.3,8.3,4.4,1.4,rain,February,2013
408,2013-02-12,1.0,11.1,7.2,5.6,rain,February,2013
409,2013-02-13,2.3,9.4,7.2,4.1,rain,February,2013
410,2013-02-14,1.0,9.4,5.6,2.2,rain,February,2013
411,2013-02-15,0.0,13.3,5.0,2.4,drizzle,February,2013
412,2013-02-16,0.0,11.1,3.9,5.6,rain,February,2013
413,2013-02-17,0.0,9.4,4.4,3.4,rain,February,2013
414,2013-02-18,0.0,7.8,3.9,1.9,rain,February,2013
415,2013-02-19,0.0,10.6,1.7,3.4,sun,February,2013
416,2013-02-20,1.5,7.8,1.1,2.1,rain,February,2013
417,2013-02-21,0.5,6.7,3.9,6.2,rain,February,2013
